input_dim,output_dim,eval,fwd,bwd
1,1,8.50e+06,1.69e+07,1.69e+07
1,2,8.51e+06,1.69e+07,2.55e+07
1,4,8.51e+06,1.69e+07,4.25e+07
1,8,8.52e+06,1.70e+07,7.60e+07
1,16,8.54e+06,1.70e+07,1.44e+08
1,32,8.57e+06,1.71e+07,2.80e+08
1,64,8.63e+06,1.72e+07,5.55e+08
1,128,8.77e+06,1.75e+07,1.12e+09
1,256,9.03e+06,1.80e+07,2.30e+09
1,512,9.56e+06,1.90e+07,4.85e+09
2,1,8.51e+06,2.55e+07,1.69e+07
2,2,8.51e+06,2.55e+07,2.55e+07
2,4,8.51e+06,2.56e+07,4.26e+07
2,8,8.52e+06,2.56e+07,7.62e+07
2,16,8.54e+06,2.56e+07,1.44e+08
2,32,8.57e+06,2.57e+07,2.81e+08
2,64,8.64e+06,2.59e+07,5.57e+08
2,128,8.77e+06,2.63e+07,1.12e+09
2,256,9.04e+06,2.71e+07,2.30e+09
2,512,9.57e+06,2.87e+07,4.87e+09
4,1,8.51e+06,4.25e+07,1.69e+07
4,2,8.51e+06,4.26e+07,2.56e+07
4,4,8.52e+06,4.26e+07,4.26e+07
4,8,8.53e+06,4.27e+07,7.62e+07
4,16,8.54e+06,4.27e+07,1.44e+08
4,32,8.58e+06,4.28e+07,2.81e+08
4,64,8.64e+06,4.32e+07,5.57e+08
4,128,8.77e+06,4.38e+07,1.12e+09
4,256,9.04e+06,4.51e+07,2.30e+09
4,512,9.57e+06,4.78e+07,4.87e+09
8,1,8.52e+06,7.60e+07,1.70e+07
8,2,8.52e+06,7.62e+07,2.56e+07
8,4,8.53e+06,7.62e+07,4.26e+07
8,8,8.53e+06,7.62e+07,7.62e+07
8,16,8.55e+06,7.63e+07,1.44e+08
8,32,8.58e+06,7.66e+07,2.81e+08
8,64,8.65e+06,7.72e+07,5.57e+08
8,128,8.78e+06,7.83e+07,1.12e+09
8,256,9.05e+06,8.07e+07,2.30e+09
8,512,9.58e+06,8.55e+07,4.87e+09
16,1,8.54e+06,1.44e+08,1.70e+07
16,2,8.54e+06,1.44e+08,2.56e+07
16,4,8.54e+06,1.44e+08,4.27e+07
16,8,8.55e+06,1.44e+08,7.62e+07
16,16,8.57e+06,1.44e+08,1.44e+08
16,32,8.60e+06,1.45e+08,2.81e+08
16,64,8.67e+06,1.46e+08,5.57e+08
16,128,8.80e+06,1.48e+08,1.12e+09
16,256,9.06e+06,1.53e+08,2.30e+09
16,512,9.59e+06,1.62e+08,4.87e+09
32,1,8.57e+06,2.80e+08,1.70e+07
32,2,8.57e+06,2.81e+08,2.57e+07
32,4,8.58e+06,2.81e+08,4.28e+07
32,8,8.58e+06,2.81e+08,7.65e+07
32,16,8.60e+06,2.81e+08,1.45e+08
32,32,8.63e+06,2.82e+08,2.82e+08
32,64,8.70e+06,2.84e+08,5.59e+08
32,128,8.83e+06,2.89e+08,1.13e+09
32,256,9.10e+06,2.97e+08,2.31e+09
32,512,9.63e+06,3.15e+08,4.89e+09
64,1,8.63e+06,5.56e+08,1.72e+07
64,2,8.64e+06,5.58e+08,2.59e+07
64,4,8.64e+06,5.58e+08,4.31e+07
64,8,8.65e+06,5.58e+08,7.71e+07
64,16,8.67e+06,5.58e+08,1.46e+08
64,32,8.70e+06,5.60e+08,2.84e+08
64,64,8.76e+06,5.64e+08,5.64e+08
64,128,8.90e+06,5.73e+08,1.14e+09
64,256,9.16e+06,5.90e+08,2.33e+09
64,512,9.69e+06,6.24e+08,4.92e+09
128,1,8.77e+06,1.12e+09,1.74e+07
128,2,8.77e+06,1.12e+09,2.63e+07
128,4,8.77e+06,1.12e+09,4.38e+07
128,8,8.78e+06,1.12e+09,7.83e+07
128,16,8.80e+06,1.12e+09,1.48e+08
128,32,8.83e+06,1.13e+09,2.88e+08
128,64,8.90e+06,1.14e+09,5.72e+08
128,128,9.03e+06,1.15e+09,1.15e+09
128,256,9.29e+06,1.19e+09,2.36e+09
128,512,9.82e+06,1.25e+09,4.99e+09
256,1,9.03e+06,2.30e+09,1.80e+07
256,2,9.03e+06,2.31e+09,2.71e+07
256,4,9.03e+06,2.31e+09,4.51e+07
256,8,9.04e+06,2.31e+09,8.07e+07
256,16,9.06e+06,2.31e+09,1.53e+08
256,32,9.09e+06,2.31e+09,2.97e+08
256,64,9.16e+06,2.33e+09,5.89e+08
256,128,9.29e+06,2.36e+09,1.19e+09
256,256,9.56e+06,2.43e+09,2.43e+09
256,512,1.01e+07,2.57e+09,5.12e+09
512,1,9.55e+06,4.85e+09,1.90e+07
512,2,9.55e+06,4.87e+09,2.87e+07
512,4,9.56e+06,4.87e+09,4.77e+07
512,8,9.57e+06,4.87e+09,8.54e+07
512,16,9.58e+06,4.87e+09,1.61e+08
512,32,9.62e+06,4.89e+09,3.14e+08
512,64,9.68e+06,4.92e+09,6.23e+08
512,128,9.81e+06,4.99e+09,1.25e+09
512,256,1.01e+07,5.12e+09,2.57e+09
512,512,1.06e+07,5.39e+09,5.39e+09
