input_dim,output_dim,fwd,bwd
1,1,1.99e+00,1.99e+00
1,2,1.99e+00,3.00e+00
1,4,1.99e+00,4.99e+00
1,8,1.99e+00,8.92e+00
1,16,1.99e+00,1.68e+01
1,32,1.99e+00,3.27e+01
1,64,1.99e+00,6.43e+01
1,128,1.99e+00,1.28e+02
1,256,1.99e+00,2.54e+02
1,512,1.99e+00,5.07e+02
2,1,3.00e+00,1.99e+00
2,2,3.00e+00,3.00e+00
2,4,3.01e+00,5.01e+00
2,8,3.00e+00,8.94e+00
2,16,3.00e+00,1.69e+01
2,32,3.00e+00,3.28e+01
2,64,3.00e+00,6.45e+01
2,128,3.00e+00,1.28e+02
2,256,3.00e+00,2.55e+02
2,512,3.00e+00,5.09e+02
4,1,5.00e+00,1.99e+00
4,2,5.01e+00,3.01e+00
4,4,5.01e+00,5.01e+00
4,8,5.00e+00,8.94e+00
4,16,5.00e+00,1.69e+01
4,32,5.00e+00,3.27e+01
4,64,5.00e+00,6.45e+01
4,128,5.00e+00,1.28e+02
4,256,4.99e+00,2.55e+02
4,512,5.00e+00,5.09e+02
8,1,8.92e+00,1.99e+00
8,2,8.95e+00,3.00e+00
8,4,8.94e+00,5.00e+00
8,8,8.93e+00,8.93e+00
8,16,8.92e+00,1.69e+01
8,32,8.92e+00,3.27e+01
8,64,8.92e+00,6.44e+01
8,128,8.92e+00,1.28e+02
8,256,8.92e+00,2.55e+02
8,512,8.93e+00,5.08e+02
16,1,1.68e+01,1.99e+00
16,2,1.69e+01,3.00e+00
16,4,1.69e+01,4.99e+00
16,8,1.69e+01,8.92e+00
16,16,1.68e+01,1.68e+01
16,32,1.68e+01,3.27e+01
16,64,1.68e+01,6.43e+01
16,128,1.68e+01,1.28e+02
16,256,1.68e+01,2.54e+02
16,512,1.68e+01,5.07e+02
32,1,3.27e+01,1.99e+00
32,2,3.28e+01,3.00e+00
32,4,3.28e+01,4.99e+00
32,8,3.27e+01,8.92e+00
32,16,3.27e+01,1.68e+01
32,32,3.27e+01,3.27e+01
32,64,3.27e+01,6.43e+01
32,128,3.27e+01,1.28e+02
32,256,3.27e+01,2.54e+02
32,512,3.27e+01,5.07e+02
64,1,6.43e+01,1.99e+00
64,2,6.46e+01,3.00e+00
64,4,6.45e+01,4.99e+00
64,8,6.45e+01,8.92e+00
64,16,6.44e+01,1.68e+01
64,32,6.44e+01,3.27e+01
64,64,6.44e+01,6.43e+01
64,128,6.44e+01,1.28e+02
64,256,6.44e+01,2.54e+02
64,512,6.44e+01,5.08e+02
128,1,1.28e+02,1.99e+00
128,2,1.28e+02,3.00e+00
128,4,1.28e+02,4.99e+00
128,8,1.28e+02,8.92e+00
128,16,1.28e+02,1.68e+01
128,32,1.28e+02,3.27e+01
128,64,1.28e+02,6.43e+01
128,128,1.28e+02,1.28e+02
128,256,1.28e+02,2.54e+02
128,512,1.28e+02,5.08e+02
256,1,2.54e+02,2.00e+00
256,2,2.55e+02,3.00e+00
256,4,2.55e+02,5.00e+00
256,8,2.55e+02,8.93e+00
256,16,2.54e+02,1.68e+01
256,32,2.54e+02,3.27e+01
256,64,2.54e+02,6.43e+01
256,128,2.54e+02,1.28e+02
256,256,2.54e+02,2.54e+02
256,512,2.55e+02,5.08e+02
512,1,5.08e+02,1.99e+00
512,2,5.10e+02,3.00e+00
512,4,5.10e+02,4.99e+00
512,8,5.09e+02,8.93e+00
512,16,5.08e+02,1.68e+01
512,32,5.08e+02,3.27e+01
512,64,5.08e+02,6.44e+01
512,128,5.08e+02,1.28e+02
512,256,5.08e+02,2.54e+02
512,512,5.08e+02,5.08e+02
