imple,N,M,K,net,loss-trace,GD-step,total
ultraweak,2,10,20,1.72e+08,1.72e+08,3.54e+08,5.25e+08
ultraweak,4,20,40,3.43e+08,3.43e+08,6.91e+08,1.03e+09
ultraweak,8,40,80,6.87e+08,6.87e+08,1.37e+09,2.05e+09
ultraweak,16,80,160,1.38e+09,1.38e+09,2.72e+09,4.10e+09
ultraweak,32,160,320,2.77e+09,2.77e+09,5.45e+09,8.22e+09
ultraweak,64,320,640,5.57e+09,5.59e+09,1.10e+10,1.66e+10
ultraweak,128,640,1280,1.13e+10,1.14e+10,2.23e+10,3.37e+10
ultraweak,256,1280,2560,2.33e+10,2.36e+10,4.59e+10,6.95e+10
ultraweak,512,2560,5120,4.94e+10,5.06e+10,9.72e+10,1.48e+11
weakfwd,2,10,20,1.72e+08,5.09e+08,1.05e+09,1.56e+09
weakfwd,4,20,40,3.43e+08,1.02e+09,2.06e+09,3.08e+09
weakfwd,8,40,80,6.87e+08,2.04e+09,4.09e+09,6.13e+09
weakfwd,16,80,160,1.38e+09,4.09e+09,8.15e+09,1.22e+10
weakfwd,32,160,320,2.77e+09,8.22e+09,1.63e+10,2.46e+10
weakfwd,64,320,640,5.57e+09,1.66e+10,3.29e+10,4.95e+10
weakfwd,128,640,1280,1.13e+10,3.37e+10,6.68e+10,1.00e+11
weakfwd,256,1280,2560,2.33e+10,6.95e+10,1.38e+11,2.07e+11
weakfwd,512,2560,5120,4.94e+10,1.48e+11,2.92e+11,4.39e+11
weakbwd,2,10,20,1.72e+08,3.41e+08,7.04e+08,1.04e+09
weakbwd,4,20,40,3.43e+08,6.81e+08,1.38e+09,2.06e+09
weakbwd,8,40,80,6.87e+08,1.36e+09,2.73e+09,4.09e+09
weakbwd,16,80,160,1.38e+09,2.74e+09,5.44e+09,8.18e+09
weakbwd,32,160,320,2.77e+09,5.49e+09,1.09e+10,1.64e+10
weakbwd,64,320,640,5.57e+09,1.11e+10,2.19e+10,3.30e+10
weakbwd,128,640,1280,1.13e+10,2.25e+10,4.46e+10,6.71e+10
weakbwd,256,1280,2560,2.33e+10,4.66e+10,9.18e+10,1.38e+11
weakbwd,512,2560,5120,4.94e+10,9.92e+10,1.94e+11,2.94e+11
