imple,N,M,K,net,vect-net,mat-build,LS-solve,loss-trace,GD-step,total
ultraweak,2,10,20,8.58e+06,1.00e+00,2.54e+01,1.92e+02,1.00e+00,2.06e+00,4.06e+00
ultraweak,4,20,40,8.58e+06,1.00e+00,1.26e+01,2.66e+01,1.00e+00,2.01e+00,4.01e+00
ultraweak,8,40,80,8.59e+06,1.00e+00,7.30e+00,5.49e+00,1.00e+00,1.99e+00,3.99e+00
ultraweak,16,80,160,8.61e+06,1.00e+00,4.69e+00,2.69e+00,1.00e+00,1.97e+00,3.98e+00
ultraweak,32,160,320,8.64e+06,1.00e+00,3.44e+00,2.26e+00,1.00e+00,1.97e+00,3.97e+00
ultraweak,64,320,640,8.70e+06,1.00e+00,2.70e+00,2.21e+00,1.00e+00,1.96e+00,3.98e+00
ultraweak,128,640,1280,8.84e+06,1.00e+00,2.36e+00,2.17e+00,1.01e+00,1.96e+00,4.00e+00
ultraweak,256,1280,2560,9.11e+06,1.00e+00,2.18e+00,2.09e+00,1.01e+00,1.94e+00,4.07e+00
ultraweak,512,2560,5120,9.64e+06,1.00e+00,2.09e+00,2.08e+00,1.02e+00,1.92e+00,4.32e+00
weakfwd,2,10,20,8.58e+06,2.97e+00,2.57e+01,1.92e+02,2.97e+00,2.06e+00,1.21e+01
weakfwd,4,20,40,8.58e+06,2.97e+00,1.28e+01,2.67e+01,2.97e+00,2.02e+00,1.19e+01
weakfwd,8,40,80,8.59e+06,2.97e+00,7.34e+00,5.51e+00,2.97e+00,2.00e+00,1.19e+01
weakfwd,16,80,160,8.61e+06,2.97e+00,4.70e+00,2.69e+00,2.97e+00,1.99e+00,1.19e+01
weakfwd,32,160,320,8.64e+06,2.97e+00,3.44e+00,2.26e+00,2.97e+00,1.99e+00,1.18e+01
weakfwd,64,320,640,8.70e+06,2.97e+00,2.70e+00,2.21e+00,2.97e+00,1.99e+00,1.19e+01
weakfwd,128,640,1280,8.84e+06,2.97e+00,2.36e+00,2.17e+00,2.98e+00,1.98e+00,1.19e+01
weakfwd,256,1280,2560,9.11e+06,2.97e+00,2.18e+00,2.09e+00,2.98e+00,1.98e+00,1.19e+01
weakfwd,512,2560,5120,9.64e+06,2.97e+00,2.09e+00,2.08e+00,2.99e+00,1.97e+00,1.22e+01
weakbwd,2,10,20,8.58e+06,2.97e+00,2.57e+01,1.48e+02,1.99e+00,2.07e+00,9.06e+00
weakbwd,4,20,40,8.58e+06,4.94e+00,1.28e+01,2.11e+01,1.99e+00,2.02e+00,1.09e+01
weakbwd,8,40,80,8.59e+06,8.88e+00,7.34e+00,4.82e+00,1.99e+00,2.00e+00,1.48e+01
weakbwd,16,80,160,8.61e+06,1.67e+01,4.70e+00,2.60e+00,1.99e+00,1.99e+00,2.27e+01
weakbwd,32,160,320,8.64e+06,3.25e+01,3.44e+00,2.25e+00,1.99e+00,1.98e+00,3.84e+01
weakbwd,64,320,640,8.70e+06,6.40e+01,2.70e+00,2.21e+00,1.99e+00,1.98e+00,7.00e+01
weakbwd,128,640,1280,8.84e+06,1.27e+02,2.36e+00,2.17e+00,1.99e+00,1.98e+00,1.33e+02
weakbwd,256,1280,2560,9.11e+06,2.53e+02,2.18e+00,2.09e+00,2.00e+00,1.97e+00,2.59e+02
weakbwd,512,2560,5120,9.64e+06,5.05e+02,2.09e+00,2.08e+00,2.01e+00,1.96e+00,5.12e+02
