modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,0.01622793538192397,0.01622793538192397,1.2040499583081055e-07,1.2040499583081055e-07,9.423169021012356e-10,9.423169021012356e-10
2,0.0024700740640347762,0.018698009445958747,1.6103423523921226e-06,1.7307473482229332e-06,3.8109564517406784e-11,9.804264666186423e-10
3,0.7558009344623023,0.7744989439082611,7.917897599353533e-07,2.5225371081582862e-06,2.2903570312883496e-11,1.0033300369315258e-09
4,10.234162642256111,11.008661586164372,5.739228791452694e-06,8.26176589961098e-06,1.013775918175282e-10,1.104707628749054e-09
5,1.8209672033038495,12.829628789468222,2.7780023212118656e-06,1.1039768220822846e-05,6.74288267551049e-08,6.853353438385396e-08
6,0.09563450638468635,12.925263295852908,2.6644457317833943e-08,1.106641267814068e-05,4.116773821517551e-09,7.265030820537151e-08
7,0.026892757653050117,12.952156053505957,2.1769256402183927e-06,1.3243338318359073e-05,1.7262599192631391e-06,1.7989102274685106e-06
8,0.008297603242754916,12.960453656748712,4.4124131905554614e-05,5.736747022391369e-05,7.247899303538132e-08,1.871389220503892e-06
9,0.005089676715370961,12.965543333464083,0.00014084712304206128,0.00019821459326597497,2.6778642776217957e-07,2.1391756482660716e-06
10,0.0021180988658522147,12.967661432329935,0.00043798614842285166,0.0006362007416888266,1.8980287085638283e-05,2.1119462733904354e-05
11,0.001720666301054558,12.96938209863099,0.001057550016832689,0.0016937507585215157,2.202496504022627e-07,2.133971238430662e-05
12,0.0008078725564614243,12.97018997118745,0.0019193871183568437,0.0036131378768783596,2.2470592201589866e-07,2.156441830632252e-05
13,0.0007596737504662909,12.970949644937916,0.0010337109138133353,0.004646848790691695,2.052417146026121e-08,2.158494247778278e-05
14,0.0003810500715271208,12.971330695009442,0.0013651925547342474,0.006012041345425942,3.7540911045671573e-06,2.5339033582349936e-05
15,0.00039193199054820676,12.97172262699999,0.000521189158898604,0.006533230504324547,4.260419997367246e-08,2.538163778232361e-05
16,0.00020514597564724385,12.971927772975636,0.0005678414116291567,0.007101071915953703,4.511627696959092e-06,2.9893265479282702e-05
17,0.00022417704079950808,12.972151950016436,0.00032551432709971364,0.007426586243053417,1.0186432541146268e-07,2.9995129804694164e-05
18,0.00012094241944751833,12.972272892435884,0.0003189292077098944,0.007745515450763311,3.868648484004964e-06,3.386377828869913e-05
19,0.00013805684099069086,12.972410949276874,0.00021229856685080515,0.007957814017614116,1.453495492619823e-07,3.4009127837961116e-05
