modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,0.01622793536295194,0.01622793536295194,1.1107203551958098e-08,1.1107203551958098e-08,1.1232511044631923e-09,1.1232511044631923e-09
2,0.0024700740631335644,0.018698009426085505,8.919185983172491e-07,9.030258018692072e-07,1.010840794645848e-10,1.2243351839277771e-09
3,0.7558009344332605,0.7744989438593459,7.048581550799508e-07,1.607883956949158e-06,9.490682955782382e-10,2.1734034795060153e-09
4,10.234162642127998,11.008661585987344,5.904549054074438e-06,7.5124330110235965e-06,6.954479902303318e-10,2.868851469736347e-09
5,1.8209672032553323,12.829628789242676,2.9970419452519964e-06,1.0509474956275593e-05,7.841165618438606e-08,8.128050765412241e-08
6,0.09563450638546482,12.925263295628142,4.749177648819109e-08,1.0556966732763784e-05,7.577846276504682e-09,8.885835393062709e-08
7,0.02689275765127098,12.952156053279413,2.109148264934955e-06,1.2666114997698738e-05,1.7380791143847994e-06,1.8269374683154266e-06
8,0.008297603243266845,12.96045365652268,4.4895415478853534e-05,5.756153047655227e-05,1.3013314303393498e-07,1.957070611349362e-06
9,0.005089676713897834,12.965543333236578,0.00014130154012142473,0.000198863070597977,2.3002349218623836e-07,2.1870941035356e-06
10,0.0021180988663038313,12.967661432102881,0.0004436222255700002,0.0006424852961679772,2.0251429950240537e-05,2.2438524053776137e-05
11,0.0017206663010147394,12.969382098403896,0.0010607103611039938,0.001703195657271971,1.633133979049312e-07,2.260183745168107e-05
12,0.0008078725550343857,12.97018997095893,0.0019228605441792854,0.0036260562014512566,1.2118444433979622e-07,2.2723021896020867e-05
13,0.0007596737514651048,12.970949644710396,0.0010352734675294509,0.004661329668980707,5.3467021879552445e-09,2.2728368598208823e-05
14,0.0003810500712840897,12.971330694781681,0.0013661189019703757,0.006027448570951083,3.3939222742309714e-06,2.6122290872439794e-05
15,0.0003919319917312028,12.971722626773412,0.0005214608403098527,0.006548909411260935,1.990284285285594e-08,2.614219371529265e-05
16,0.00020514597538106433,12.971927772748792,0.0005685326117858792,0.007117442023046814,4.202964552163509e-06,3.0345158267456156e-05
17,0.000224177040208094,12.972151949789,0.000325710259386492,0.0074431522824333065,6.86943282705933e-08,3.0413852595726748e-05
18,0.00012094242009853192,12.972272892209098,0.00031938011269131843,0.007762532395124625,3.6392679834681196e-06,3.405312057919487e-05
19,0.0001380568410349046,12.972410949050133,0.00021247307601680748,0.007975005471141432,1.1046422243374017e-07,3.416358480162861e-05
20,7.62038698289919e-05,12.972487152919962,0.00021961523348773454,0.008194620704629165,2.864905595841923e-06,3.7028490397470535e-05
21,8.990062716135719e-05,12.972577053547123,0.00014430205344350663,0.008338922758072673,1.2781013260452432e-07,3.715630053007506e-05
22,5.0526664441470306e-05,12.972627580211565,0.00015238519376288513,0.008491307951835558,2.1970427155027517e-06,3.935334324557781e-05
23,6.1163300430166e-05,12.972688743511995,0.00010224524387203798,0.008593553195707596,1.2678377255080213e-07,3.948012701812861e-05
24,3.488431786707648e-05,12.972723627829861,0.00010698613673725194,0.008700539332444848,1.680070565776465e-06,4.1160197583905074e-05
25,4.311080942530352e-05,12.972766738639287,7.422181511221594e-05,0.008774761147557065,1.1634099917022917e-07,4.12765385830753e-05
26,2.489102505477097e-05,12.972791629664341,7.744528804600496e-05,0.008852206435603069,1.2925176822406428e-06,4.2569056265315945e-05
27,3.12879570551699e-05,12.972822917621396,5.499117073915149e-05,0.00890719760634222,1.024472136406557e-07,4.2671503478956604e-05
28,1.825347110853268e-05,12.972841171092504,5.756707252097091e-05,0.008964764678863191,1.003856184476446e-06,4.367535966343305e-05
29,2.32727663507467e-05,12.972864443858855,4.157989929005771e-05,0.009006344578153249,8.825107907582439e-08,4.376361074250887e-05
30,1.3699365226596811e-05,12.972878143224081,4.3679023494535906e-05,0.009050023601647784,7.880342005347272e-07,4.455164494304359e-05
31,1.767814944577889e-05,12.972895821373527,3.201476043772344e-05,0.009082038362085508,7.516915893531537e-08,4.462681410197891e-05
32,1.0487535868113092e-05,12.972906308909394,3.373130481474922e-05,0.009115769666900257,6.253518666411251e-07,4.525216596862003e-05
33,1.3674367088621507e-05,12.972919983276483,2.5040764616237605e-05,0.009140810431516494,6.37044474180152e-08,4.531587041603805e-05
