modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,0.18054795559084227,0.18054795559084227,3.715476362930238e-07,3.715476362930238e-07,1.1747318149466071e-07,1.1747318149466071e-07
2,0.0646284470154951,0.24517640260633738,0.0006519965245518805,0.0006523680721881736,3.634566477704616e-06,3.7520396591992766e-06
3,6.125830804308384e-06,0.2451825284371417,0.001449148486927165,0.0021015165591153386,8.228837663205092e-09,3.760268496862482e-06
4,0.0050734960883706895,0.2502560245255124,0.00076399369433856,0.0028655102534538984,6.4515932760442835e-09,3.766720090138526e-06
5,1.460923812103917e-06,0.25025748544932447,0.00024943442026748106,0.0031149446737213796,4.1778248324886403e-07,4.18450257338739e-06
6,0.000982841827363736,0.2512403272766882,8.025279199172969e-05,0.0031951974657131095,2.4230757083098617e-06,6.607578281697252e-06
7,1.8399451358885056e-07,0.2512405112712018,0.0003321604856760505,0.00352735795138916,4.936907300619974e-07,7.1012690117592494e-06
8,0.000327824696523118,0.2515683359677249,0.00033466865923709096,0.0038620266106262507,2.197048997353167e-09,7.103466060756603e-06
9,1.6317386902618732e-07,0.2515684991415939,0.00011948590856413692,0.003981512519190387,2.622608859956611e-07,7.365726946752264e-06
10,0.00015421113331137688,0.2517227102749053,8.704691955279301e-05,0.00406855943874318,5.003290259982894e-07,7.866055972750554e-06
11,1.603257923605141e-06,0.25172431353282887,0.0005021738623954886,0.004570733301138668,4.612801406687405e-07,8.327336113419295e-06
12,9.593883852218886e-05,0.2518202523713511,0.0017857244406439445,0.006356457741782613,9.907484808973201e-08,8.426410961509027e-06
13,5.1495064890648824e-06,0.25182540187784014,0.002371190684890322,0.008727648426672934,8.328690515495226e-08,8.509697866663979e-06
14,7.695407485903116e-05,0.25190235595269916,0.0068038754415162645,0.0155315238681892,1.4243580403393692e-06,9.934055907003348e-06
15,1.2401519219000304e-05,0.25191475747191816,0.00844746495988121,0.02397898882807041,1.3409035385149946e-06,1.1274959445518343e-05
16,7.758985012499494e-05,0.2519923473220432,0.016199261774074533,0.040178250602144944,3.5924037833344158e-06,1.4867363228852759e-05
17,2.653081573542556e-05,0.2520188781377786,0.012128641163287698,0.05230689176543264,1.2759226840712317e-06,1.614328591292399e-05
18,9.481915618323713e-05,0.2521136972939619,0.010847091804712985,0.06315398357014562,1.5519436984939039e-06,1.7695229611417894e-05
19,5.3786580050155216e-05,0.25216748387401206,0.0036231997552236953,0.06677718332536932,5.587483858378733e-06,2.3282713469796628e-05
20,0.0001348097960116008,0.25230229367002366,0.0014626800835532165,0.06823986340892253,1.1229659974160737e-06,2.4405679467212703e-05
21,0.00010693743012628825,0.25240923110014996,0.0002483087734279599,0.0684881721823505,4.511260406063128e-06,2.891693987327583e-05
22,0.000215397486005232,0.2526246285861552,0.0007711039986523243,0.06925927618100282,1.9748993573007385e-05,4.8665933446283216e-05
23,0.00021349752565605912,0.2528381261118113,0.007919029369752946,0.07717830555075576,3.709640238441448e-05,8.576233583069769e-05
24,0.0003783560205712882,0.25321648213238257,0.01270424105641753,0.08988254660717329,4.7053894348430036e-05,0.00013281623017912772
25,0.00043701987932284427,0.2536535020117054,0.04279727451969868,0.132679821126872,0.0001597041972447529,0.00029252042742388063
26,0.0007248810733421787,0.25437838308504757,0.054941289290754876,0.18762111041762686,0.00029651328914378973,0.0005890337165676703
27,0.0009380318293399453,0.2553164149143875,0.09676340557360395,0.2843845159912308,0.0005332815178929334,0.0011223152344606037
28,0.0015243009533293715,0.2568407158677169,0.05753685517522042,0.34192137116645127,0.0009934002189990407,0.0021157154534596446
29,0.0021729055202429634,0.25901362138795986,0.0625995512522481,0.40452092241869936,0.00160727485683952,0.0037229903102991646
30,0.003598393972474156,0.262612015360434,0.02280370469799438,0.4273246271166937,0.0023434898388254616,0.006066480149124627
31,0.005667577260851261,0.26827959262128526,0.026154827454604266,0.453479454571298,0.003149116788629985,0.009215596937754611
32,0.009992906025814942,0.2782724986471002,4.67525948261667e-06,0.4534841298307806,0.004136175927988683,0.013351772865743294
33,0.017884258446805797,0.296156757093906,0.0005518035454859964,0.45403593337626663,0.004905772776554993,0.018257545642298287
34,0.03587816816241289,0.3320349252563189,0.05938060712775139,0.513416540504018,0.0057543977867240016,0.02401194342902229
35,0.07884102083354833,0.4108759460898672,0.0377237067543118,0.5511402472583298,0.0062600091506966596,0.03027195257971895
36,0.20751255817495207,0.6183885042648193,0.14745214670245158,0.6985923939607813,0.007155024284491267,0.03742697686421022
37,0.7092770734309973,1.3276655776958166,0.04828731033509047,0.7468797042958718,0.007360851286477668,0.04478782815068789
38,4.083712410052998,5.411377987748814,0.40691589269254,1.1537955969884117,0.007609270761357438,0.052397098912045324
39,107.56200117569483,112.97337916344364,0.04990755349048353,1.2037031504788953,0.007257891096138674,0.059654990008184
40,1018.6275454573564,1131.6009246208,0.36441911071819183,1.568122261197087,0.006842157048889091,0.06649714705707309
41,118.87840236299797,1250.479326983798,0.5267590943217744,2.0948813555188615,0.004924574124684632,0.07142172118175771
42,4.9883047517135815,1255.4676317355115,0.029146875164037984,2.1240282306828995,0.003569578390978375,0.07499129957273609
43,0.9583979943062416,1256.4260297298179,0.10584626698396518,2.2298744976668647,0.001524026210819423,0.07651532578355552
44,0.3097748581460912,1256.735804587964,0.0060022874251053175,2.23587678509197,0.0005628472985083853,0.07707817308206391
45,0.13061022183325857,1256.866414809797,0.022305307910215635,2.2581820930021856,2.6420931040733914e-05,0.07710459401310464
46,0.06550467065668986,1256.9319194804539,0.000178544024493165,2.2583606370266787,0.0006713277907069441,0.07777592180381158
47,0.03649729126346073,1256.9684167717173,0.0016917255427281366,2.260052362569407,0.00285727399818842,0.080633195802
48,0.022328928518441087,1256.9907457002357,0.033951253722082825,2.29400361629149,0.006396015464359958,0.08702921126635996
49,0.014347328327145156,1257.005093028563,0.03633382709412213,2.330337443385612,0.012111897385068047,0.099141108651428
50,0.009839053168622339,1257.0149320817316,0.07003796404536423,2.400375407430976,0.02038575213353447,0.11952686078496247
51,0.006888210529636512,1257.0218202922613,0.06470108365402616,2.4650764910850023,0.030524253185803183,0.15005111397076565
52,0.005088792012812494,1257.0269090842742,0.09511577622121287,2.560192267306215,0.04701735817429126,0.1970684721450569
53,0.0037703601017501955,1257.030679444376,0.06922784149468987,2.6294201088009053,0.04931856496131663,0.24638703710637355
54,0.002935775801867867,1257.0336152201778,0.06951194966501617,2.6989320584659215,0.06515909765024115,0.3115461347566147
55,0.0022635470374558573,1257.0358787672153,0.02703145358778785,2.7259635120537093,0.06269441265116103,0.37424054740777574
56,0.001833028540180948,1257.0377117957555,0.01592577932434714,2.7418892913780564,0.05353399871484758,0.42777454612262333
57,0.0014552494976857123,1257.0391670452532,0.0010622508261404603,2.742951542204197,0.02348270847733766,0.451257254599961
58,0.0012149434682679143,1257.0403819887215,0.0003864226968291652,2.743337964901026,0.015862360278904176,0.4671196148788652
59,0.0009861922599594519,1257.0413681809814,0.0007061233464285958,2.744044088247455,0.006324613517977532,0.47344422839684275
60,0.0008437022127701871,1257.042211883194,0.0004956478076210657,2.744539736055076,9.44576058807399e-05,0.4735386860027235
61,0.0006967820448106904,1257.0429086652389,0.0068066716876856136,2.7513464077427616,0.00011012415043475277,0.47364881015315824
62,0.0006081795901558296,1257.0435168448291,0.0178691550806124,2.769215562823374,0.0021416762995535134,0.47579048645271177
63,0.0005092176432797888,1257.0440260624723,0.03939220291859809,2.8086077657419724,1.6684006364444438e-05,0.4758071704590762
64,0.00045198564484430286,1257.044478048117,0.024054157391219147,2.8326619231331915,0.0032202660983264384,0.47902743655740265
65,0.00038266779657116705,1257.0448607159137,0.0016892523348118165,2.8343511754680035,0.009169827540719322,0.488197264098122
66,0.0003445378367499694,1257.0452052537505,0.013166747330271147,2.8475179227982745,0.007089907709727012,0.495287171807849
67,0.0002943702919018981,1257.0454996240423,0.027572318365192014,2.8750902411634667,6.766535950334357e-07,0.495287848461444
68,0.00026831563903935467,1257.0457679396814,0.01857863269566903,2.8936688738591356,0.008134156138636243,0.5034220046000802
69,0.00023099169949913984,1257.0459989313808,0.0037707745914679056,2.8974396484506033,0.0011023656521288408,0.5045243702522091
70,0.0002128128159795877,1257.0462117441969,0.00927164400902679,2.90671129245963,0.0014718661833005612,0.5059962364355096
71,0.0001843805804546622,1257.0463961247774,0.0155684655375459,2.9222797579971758,0.00450748961696753,0.5105037260524772
72,0.00017147673718397778,1257.0465676015147,0.007778962538304136,2.93005872053548,0.005518984370619614,0.5160227104230968
73,0.00014937325855394058,1257.0467169747733,0.004759659432730822,2.9348183799682106,4.8425783793675814e-05,0.5160711362068905
74,0.0001400841944425792,1257.0468570589678,0.023677121150408143,2.9584955011186187,0.004075506344828176,0.5201466425517187
75,0.00012259430788879412,1257.0469796532757,0.0014643482273130372,2.959959849345932,0.0017930215136209649,0.5219396640653396
