iteration,lossGD,lossLSGD,error2GD,error2LSGD,rel_errorGD,rel_errorLSGD
1,46701.964386405394,46246.19440863218,46630.45959108883,46174.86919052872,1.0000333278289846,0.9951360578766568
2,46716.08341107823,46269.0839361046,46643.271283713264,46197.94453297252,1.0001706976920837,0.9953846805316641
3,46721.02188441551,46202.16072422863,46648.718846439675,46130.09122938692,1.0002291019740626,0.9946534255186318
4,46709.420692033826,46172.119089804335,46637.25766473635,46099.56527824282,1.0001062206603635,0.9943242719687757
5,46699.288372729316,46140.05921122186,46627.09398896394,46067.1298956535,0.9999972379527987,0.9939744100673112
6,46707.81069488478,46097.74323160266,46635.670744440045,46024.55617764313,1.0000892052692294,0.9935150047614452
7,46706.451753889494,46042.857077535475,46634.52989712423,45969.617936770446,1.0000769726150718,0.9929218620008016
8,46701.30565652824,45980.15100155282,46629.65186838778,45907.04453327776,1.0000246666113415,0.9922458540159671
9,46703.851824310026,45921.98764548675,46632.37294325445,45849.11041760632,1.0000538444218163,0.9916195554334695
10,46705.84423439241,45861.39711400658,46634.34676967053,45788.746239875574,1.0000750090300448,0.9909665655103144
11,46701.81839041587,45787.803022026055,46630.13133471887,45715.36098154604,1.0000298079420844,0.9901721399731396
12,46698.60196123055,45722.632373050976,46626.64098161384,45650.29416196015,0.9999923801849171,0.9894672314713805
13,46700.31272872127,45699.063838630645,46628.093861995185,45626.99746517981,1.0000079598831588,0.9892147220387241
14,46702.36490617129,45682.34465117921,46629.9884098592,45610.7929625736,1.0000282753576224,0.9890390458280243
15,46701.185251768795,45650.085751782935,46628.777150244714,45579.11523172007,1.0000152869163763,0.9886955311411494
16,46699.58773070927,45578.22182774439,46627.24383630987,45507.46326589541,0.9999988448169503,0.9879180934762078
17,46700.22594881895,45481.73853507452,46627.98687131109,45410.8126769825,1.000006812596317,0.9868684456802611
18,46701.189409988314,45430.51898199114,46629.041447699616,45359.44387242771,1.0000181210151542,0.986310113932896
19,46700.19365823248,45397.813938665706,46628.094021617704,45326.61719539401,1.0000079615948285,0.9859531525066784
20,46698.60368626735,45353.62764278822,46626.51425015676,45282.13001396843,0.9999910211917016,0.9854691869334433
21,46698.64189600128,45284.4709213019,46626.550972170604,45213.12880157823,0.9999914149770561,0.9847180684174386
22,46699.72558398877,45201.606919297454,46627.65069211783,45130.96545138726,1.0000032076573948,0.9838229243699103
23,46699.86949878956,45114.376940744936,46627.84167139465,45044.44244511145,1.00000525558058,0.9828794019569943
24,46699.06998355917,45048.52482134155,46627.1098297128,44979.06929928955,0.9999974078186685,0.9821659149551241
25,46698.80113831405,45000.908408627874,46626.901081848955,44931.933795231394,0.9999951693402691,0.9816511530764116
26,46699.2685717183,44947.49467556622,46627.38951954919,44878.76420432747,1.0000004070254924,0.9810701694005084
27,46699.30637543763,44878.577085301076,46627.39140808002,44809.96125875452,1.000000427276804,0.9803178491270099
28,46698.63383759498,44799.40775241424,46626.632242966545,44731.02041179893,0.9999922864768895,0.9794539649366827
29,46698.258475019284,44719.970719665536,46626.146745591,44652.065084461385,0.9999870802795824,0.9785891594473332
30,46698.623781469876,44642.94199980182,46626.41451924501,44575.47476963524,0.9999899517350713,0.9777495272902171
31,46698.94605962135,44573.922783799404,46626.681199801096,44506.59261618952,0.9999928114605923,0.9769937806368137
32,46698.697201755356,44497.52076151733,46626.42845540459,44430.59988520904,0.9999901011784571,0.9761593408336218
33,46698.4020649779,44407.319875142646,46626.16941256617,44340.94889739195,0.9999873233479157,0.9751740082056205
34,46698.51502400534,44332.70661730213,46626.333738943176,44266.150948020586,0.9999890854929857,0.9743511592972982
35,46698.639552494446,44234.76878097464,46626.50041255234,44169.34824226277,0.9999908728053014,0.973285204290378
36,46698.40052235758,44260.25143240009,46626.28180312677,44193.177797153534,0.9999885285623861,0.9735477146826714
37,46698.1555774524,44132.12917559028,46626.03897866543,44067.95478184891,0.9999859246447826,0.9721674443720978
38,46698.26695716882,44086.200203211185,46626.147995144245,44022.0488911164,0.9999870936791144,0.9716609556873802
39,46698.44580684234,44079.85873759448,46626.33354579612,44014.99029532896,0.9999890834217854,0.9715830533969051
40,46698.35133953342,43960.96146554095,46626.25864214175,43896.542905052345,0.999988280196858,0.970274874027236
41,46698.18778826177,43733.81028517253,46626.11884571114,43672.267220532274,0.9999867810963395,0.967793041622584
42,46698.22016939075,43631.1828380154,46626.163338653336,43570.83886840899,0.9999872582145786,0.9666685440778507
43,46698.27389262742,43644.517253045495,46626.20449888054,43584.166543828935,0.9999876995943825,0.9668163775814689
44,46698.15425443361,43449.36476223581,46626.04616970765,43391.45551277652,0.9999860017577101,0.9646765799729332
45,46698.045642607416,43299.31561135982,46625.88480360468,43243.00618651591,0.999984271351671,0.9630250073405734
46,46698.11050355833,43207.45729674368,46625.902388595896,43151.26701924141,0.9999844599241028,0.9620029458969203
47,46698.172152626335,43184.57222148108,46625.93897240879,43129.269269433324,0.9999848522300457,0.9617577086274451
48,46698.09453517084,43033.91058942393,46625.863864290586,42981.0699404513,0.9999840468091536,0.9601039071480029
49,46698.02574816616,42897.66729771402,46625.81742838393,42848.582405198096,0.9999835488540106,0.9586230229414875
50,46698.0526275062,42887.66249110156,46625.871341988386,42837.15394812758,0.9999841269961741,0.9584951737565475
51,46698.043610680805,42838.7904259698,46625.88069140204,42790.75755995729,0.9999842272545126,0.9579759660363121
52,46697.965174807585,42784.82641376057,46625.80752565372,42737.68144167258,0.9999834426621156,0.9573816622058662
53,46697.94639963523,42670.01177620959,46625.786019904444,42624.28483320498,0.9999832120452445,0.9561107001520562
54,46697.98701308847,42572.3566081216,46625.824817391964,42527.283959644075,0.9999836280900068,0.9550221610928171
55,46697.969216598234,42439.15033613658,46625.811291529084,42397.09075188897,0.999983483045469,0.953559186094794
56,46697.91202734683,42373.94760512135,46625.761802512185,42332.51354621265,0.9999829523500103,0.9528327016509417
57,46697.90397774912,42270.58717273617,46625.7564692283,42230.06457394409,0.9999828951585252,0.9516790273824496
58,46697.906264915575,42212.470852607934,46625.74889805229,42171.45095958235,0.999982813968992,0.9510183521375107
59,46697.86500777546,42094.63851936397,46625.684770309235,42058.04885387348,0.9999821262946433,0.9497388125280459
60,46697.83823495475,42065.28306189127,46625.63017246772,42030.459580943774,0.9999815408138949,0.9494272562084335
61,46697.85113930692,41896.186229624254,46625.62210904506,41863.31660214105,0.9999814543456357,0.947537576890448
62,46697.839935891425,41756.31927670679,46625.604925877065,41724.342650761246,0.9999812700815965,0.9459634957986987
63,46697.80186718974,41774.73492767446,46625.575439726796,41744.5368470036,0.9999809538862067,0.9461923869016189
64,46697.78888693409,41511.5420627632,46625.57759864784,41487.56684484707,0.999980977037448,0.9432756172142472
65,46697.78334709511,41360.1116185494,46625.58402071148,41338.49762987606,0.9999810459045976,0.9415794476921481
66,46697.75495098978,41439.53750232037,46625.55932876261,41417.28841360943,0.9999807811198808,0.9424763412687024
67,46697.73660432776,41177.37697125488,46625.53827452287,41161.51348766411,0.9999805553441712,0.9395616750486675
68,46697.73647315631,40994.13620303793,46625.53462769407,40984.31177494519,0.9999805162372987,0.9375370712500041
69,46697.71871402058,41080.01011459532,46625.516318238864,41068.732158899584,0.9999803198953112,0.9385021542380803
70,46697.69217449008,40767.12183171795,46625.490823913555,40768.05505087041,0.9999800465060914,0.9350603081975131
71,46697.68181407907,40589.8608185656,46625.47812296437,40597.51427204635,0.9999799103070253,0.9331024881341868
72,46697.6685013279,40784.248925324486,46625.45540231559,40784.59963448779,0.9999796666613189,0.9352500230884886
73,46697.64577828672,40494.849388125964,46625.41783732928,40505.957105017835,0.9999792638316873,0.9320497088712152
74,46697.63444574465,40217.097962887296,46625.39270166848,40243.08017318376,0.9999789942883338,0.9290203620028368
75,46697.6245464519,40420.637678556566,46625.37666169948,40436.687397341186,0.9999788222829894,0.9312524133433477
76,46697.60266961572,40320.73929221339,46625.35809869583,40342.10232302061,0.9999786232217303,0.9301626338261343
77,46697.585502617745,39876.30988926675,46625.34949846679,39915.27964149807,0.9999785309967486,0.925228951764648
78,46697.57388180118,39778.484773497636,46625.34499635049,39816.133565117554,0.9999784827180783,0.9240791432691863
79,46697.55523962484,39834.71851888658,46625.32793824824,39875.12294735509,0.9999782997946408,0.9247634222008035
80,46697.53906509306,39786.894167669496,46625.30874519618,39832.60050287059,0.999978093976919,0.9242702113034056
81,46697.527445535285,39500.966139608536,46625.293349574466,39561.398680257196,0.9999779288811144,0.9211183722955212
82,46697.50910109541,39377.91411616937,46625.27297131014,39439.442655591665,0.999977710353623,0.9196975094475218
83,46697.49087355081,39355.29641741148,46625.25332860242,39419.26103766456,0.9999774997138701,0.9194621694227983
84,46697.477381145385,39262.65318289273,46625.23599981821,39337.98850875948,0.9999773138875776,0.9185138313442268
85,46697.46021053066,39095.08714222225,46625.211422795604,39180.88484582724,0.999977050334292,0.9166778674905062
86,46697.44324670423,38977.75767776162,46625.18618826008,39061.23658928991,0.9999767797300518,0.915277149131164
87,46697.42913100835,38830.41129656419,46625.1674866485,38925.1495210317,0.9999765791820141,0.9136813719385678
88,46697.4111074808,38795.888505754105,46625.15086396126,38901.631391818475,0.9999764009274329,0.913405312327716
89,46697.393226812404,38782.8502736459,46625.13826079354,38883.92940921384,0.999976265776437,0.9131974685406546
90,46697.37796452196,38579.38343377638,46625.127491162566,38694.633433386065,0.9999761502874928,0.9109719282150641
91,46697.36017482998,38525.474783449805,46625.11024627371,38637.01027415946,0.999975965360608,0.9102933762654991
92,46697.34286043625,38451.55468976929,46625.09015538641,38575.7923204611,0.9999757499143979,0.9095719386000666
93,46697.326426724976,38411.16858088404,46625.07051353527,38532.291061767,0.9999755392834175,0.909058939604847
94,46697.307427934415,38270.44554934371,46625.049635284515,38406.54345917247,0.9999753153937573,0.9075744003519035
95,46697.28947393002,38218.53992223413,46625.03023078654,38348.28914346177,0.9999751073079627,0.9068858433482694
96,46697.27200757808,38157.07298790281,46625.00996891063,38302.59574173049,0.9999748900279563,0.90634538833209
97,46697.25276937049,38138.03679672745,46624.986755622675,38269.466803537034,0.9999746410981655,0.9059533423726922
98,46697.23433006279,38006.51719551826,46624.96568104977,38156.16721127581,0.999974415103025,0.9046112773147618
99,46697.215041396325,37897.56644791851,46624.94736784817,38060.49901734626,0.9999742187196649,0.9034765087028066
100,46697.194713265315,37884.840424981834,46624.93098602038,38029.22844319224,0.9999740430475428,0.903105283478532
101,46697.17528398051,37808.27786649351,46624.9153010964,37978.16234034098,0.9999738748487076,0.9024987294994384
102,46697.1546268725,37685.570954087525,46624.895563225946,37833.87106209533,0.9999736631876595,0.9007826562051221
103,46697.133439371944,37580.3717551356,46624.872768999485,37737.48788271488,0.9999734187514131,0.8996345360297741
104,46697.11214868774,37518.734658660454,46624.849678691535,37702.04584386584,0.9999731711400452,0.8992119804512254
105,46697.08952576223,37389.02066213639,46624.82659669212,37540.39477631013,0.9999729236177136,0.8972821817107852
106,46697.06699989989,37204.840288260086,46624.80437932828,37364.86743420077,0.9999726853673377,0.8951820161209137
107,46697.04367071028,37060.43368516471,46624.78100239412,37217.27758528136,0.9999724346821192,0.8934122988307464
108,46697.01923352019,36924.03040983627,46624.756572486316,37070.937760531284,0.9999721727051505,0.8916541023488341
109,46696.99446858268,36808.98657343073,46624.733515675805,36974.6607615959,0.999971925452688,0.8904954913680274
110,46696.96843231073,36897.62089333952,46624.71143936024,37048.336454255375,0.9999716887146228,0.8913822503098657
111,46696.94185123089,36698.56571304267,46624.68934829056,36860.88032634459,0.9999714518182842,0.8891242951181294
112,46696.914276167285,36514.26052261664,46624.66452469831,36682.33520437456,0.9999711856193321,0.8869683304961753
113,46696.88535976351,36591.79898415537,46624.63635662863,36693.09415156698,0.9999708835553648,0.8870983950865056
114,46696.85565990595,36386.39838704317,46624.607277846095,36561.78398519794,0.9999705717251537,0.8855096841727315
115,46696.824510372884,36147.938351755016,46624.57829662944,36274.10688997234,0.9999702609411065,0.8820191005917901
116,46696.79232239022,35856.83626422947,46624.54963527326,36006.68949933363,0.999969953587032,0.8787619071367104
