input_dim,output_dim,eval,fwd,bwd
1,1,7.95e+06,1.50e+07,1.67e+07
1,2,7.78e+06,1.50e+07,2.67e+07
1,4,8.59e+06,1.46e+07,4.20e+07
1,8,7.61e+06,1.54e+07,7.54e+07
1,16,7.71e+06,1.57e+07,1.43e+08
1,32,7.54e+06,1.57e+07,2.80e+08
1,64,7.82e+06,1.66e+07,5.55e+08
1,128,7.98e+06,1.61e+07,1.12e+09
1,256,8.42e+06,1.62e+07,2.30e+09
1,512,8.93e+06,1.73e+07,4.86e+09
2,1,7.69e+06,2.55e+07,1.61e+07
2,2,8.30e+06,2.44e+07,2.52e+07
2,4,7.88e+06,2.49e+07,4.31e+07
2,8,7.81e+06,2.50e+07,7.55e+07
2,16,7.94e+06,2.48e+07,1.44e+08
2,32,7.99e+06,2.50e+07,2.82e+08
2,64,7.86e+06,2.53e+07,5.58e+08
2,128,8.42e+06,2.60e+07,1.12e+09
2,256,8.58e+06,2.59e+07,2.31e+09
2,512,8.79e+06,2.92e+07,4.87e+09
4,1,7.65e+06,4.24e+07,1.60e+07
4,2,8.55e+06,4.13e+07,2.47e+07
4,4,7.55e+06,4.20e+07,4.33e+07
4,8,7.85e+06,4.21e+07,7.51e+07
4,16,8.17e+06,4.14e+07,1.44e+08
4,32,7.65e+06,4.30e+07,2.80e+08
4,64,8.08e+06,4.22e+07,5.57e+08
4,128,8.06e+06,4.30e+07,1.12e+09
4,256,8.25e+06,4.44e+07,2.31e+09
4,512,8.99e+06,4.68e+07,4.87e+09
8,1,7.87e+06,7.67e+07,1.51e+07
8,2,7.81e+06,7.58e+07,2.50e+07
8,4,7.59e+06,7.57e+07,4.24e+07
8,8,8.20e+06,7.51e+07,7.57e+07
8,16,7.70e+06,7.60e+07,1.44e+08
8,32,7.64e+06,7.63e+07,2.80e+08
8,64,7.76e+06,7.71e+07,5.57e+08
8,128,8.67e+06,7.76e+07,1.12e+09
8,256,8.44e+06,8.03e+07,2.31e+09
8,512,8.68e+06,8.53e+07,4.87e+09
16,1,7.82e+06,1.43e+08,1.60e+07
16,2,8.19e+06,1.43e+08,2.57e+07
16,4,7.73e+06,1.44e+08,4.31e+07
16,8,7.54e+06,1.44e+08,7.61e+07
16,16,7.54e+06,1.44e+08,1.44e+08
16,32,7.99e+06,1.45e+08,2.81e+08
16,64,7.99e+06,1.46e+08,5.58e+08
16,128,8.31e+06,1.48e+08,1.13e+09
16,256,8.43e+06,1.52e+08,2.31e+09
16,512,8.92e+06,1.61e+08,4.88e+09
32,1,7.77e+06,2.80e+08,1.69e+07
32,2,7.62e+06,2.81e+08,2.48e+07
32,4,7.90e+06,2.81e+08,4.21e+07
32,8,7.94e+06,2.81e+08,7.69e+07
32,16,8.28e+06,2.81e+08,1.44e+08
32,32,8.56e+06,2.82e+08,2.82e+08
32,64,7.95e+06,2.84e+08,5.61e+08
32,128,8.23e+06,2.89e+08,1.13e+09
32,256,8.43e+06,2.98e+08,2.32e+09
32,512,9.36e+06,3.15e+08,4.89e+09
64,1,8.02e+06,5.57e+08,1.67e+07
64,2,7.76e+06,5.58e+08,2.70e+07
64,4,8.05e+06,5.59e+08,4.16e+07
64,8,7.89e+06,5.57e+08,7.73e+07
64,16,8.16e+06,5.58e+08,1.45e+08
64,32,8.79e+06,5.60e+08,2.84e+08
64,64,8.02e+06,5.65e+08,5.65e+08
64,128,7.54e+06,5.74e+08,1.14e+09
64,256,8.57e+06,5.90e+08,2.34e+09
64,512,8.55e+06,6.25e+08,4.93e+09
128,1,8.18e+06,1.12e+09,1.58e+07
128,2,7.56e+06,1.12e+09,2.58e+07
128,4,8.73e+06,1.12e+09,4.20e+07
128,8,8.47e+06,1.12e+09,7.88e+07
128,16,7.87e+06,1.13e+09,1.47e+08
128,32,8.58e+06,1.13e+09,2.87e+08
128,64,8.11e+06,1.14e+09,5.73e+08
128,128,8.27e+06,1.16e+09,1.15e+09
128,256,8.72e+06,1.19e+09,2.37e+09
128,512,8.87e+06,1.26e+09,5.00e+09
256,1,8.47e+06,2.30e+09,1.69e+07
256,2,8.40e+06,2.31e+09,2.64e+07
256,4,8.07e+06,2.31e+09,4.42e+07
256,8,8.22e+06,2.31e+09,8.00e+07
256,16,9.03e+06,2.31e+09,1.52e+08
256,32,8.32e+06,2.32e+09,2.97e+08
256,64,8.51e+06,2.34e+09,5.90e+08
256,128,8.24e+06,2.37e+09,1.19e+09
256,256,8.93e+06,2.44e+09,2.44e+09
256,512,9.34e+06,2.57e+09,5.13e+09
512,1,8.59e+06,4.86e+09,1.84e+07
512,2,8.65e+06,4.87e+09,2.83e+07
512,4,8.59e+06,4.87e+09,4.84e+07
512,8,8.87e+06,4.87e+09,8.49e+07
512,16,8.91e+06,4.88e+09,1.61e+08
512,32,8.93e+06,4.90e+09,3.15e+08
512,64,8.70e+06,4.93e+09,6.26e+08
512,128,9.03e+06,5.00e+09,1.26e+09
512,256,9.53e+06,5.13e+09,2.57e+09
512,512,1.00e+07,5.40e+09,5.40e+09
