input_dim,output_dim,fwd,bwd
1,1,1.89e+00,2.10e+00
1,2,1.92e+00,3.43e+00
1,4,1.70e+00,4.90e+00
1,8,2.02e+00,9.91e+00
1,16,2.04e+00,1.85e+01
1,32,2.08e+00,3.71e+01
1,64,2.13e+00,7.11e+01
1,128,2.02e+00,1.41e+02
1,256,1.92e+00,2.73e+02
1,512,1.94e+00,5.45e+02
2,1,3.32e+00,2.10e+00
2,2,2.94e+00,3.04e+00
2,4,3.16e+00,5.46e+00
2,8,3.21e+00,9.67e+00
2,16,3.12e+00,1.82e+01
2,32,3.13e+00,3.53e+01
2,64,3.22e+00,7.10e+01
2,128,3.09e+00,1.33e+02
2,256,3.01e+00,2.69e+02
2,512,3.32e+00,5.54e+02
4,1,5.54e+00,2.09e+00
4,2,4.83e+00,2.89e+00
4,4,5.56e+00,5.74e+00
4,8,5.37e+00,9.58e+00
4,16,5.07e+00,1.76e+01
4,32,5.63e+00,3.66e+01
4,64,5.23e+00,6.90e+01
4,128,5.34e+00,1.39e+02
4,256,5.37e+00,2.79e+02
4,512,5.20e+00,5.42e+02
8,1,9.74e+00,1.92e+00
8,2,9.71e+00,3.20e+00
8,4,9.98e+00,5.59e+00
8,8,9.17e+00,9.24e+00
8,16,9.87e+00,1.87e+01
8,32,9.99e+00,3.67e+01
8,64,9.93e+00,7.17e+01
8,128,8.95e+00,1.30e+02
8,256,9.51e+00,2.73e+02
8,512,9.83e+00,5.61e+02
16,1,1.83e+01,2.05e+00
16,2,1.75e+01,3.14e+00
16,4,1.86e+01,5.57e+00
16,8,1.90e+01,1.01e+01
16,16,1.91e+01,1.91e+01
16,32,1.81e+01,3.51e+01
16,64,1.82e+01,6.98e+01
16,128,1.78e+01,1.36e+02
16,256,1.81e+01,2.74e+02
16,512,1.80e+01,5.47e+02
32,1,3.61e+01,2.17e+00
32,2,3.69e+01,3.26e+00
32,4,3.55e+01,5.33e+00
32,8,3.54e+01,9.69e+00
32,16,3.40e+01,1.74e+01
32,32,3.29e+01,3.30e+01
32,64,3.58e+01,7.05e+01
32,128,3.51e+01,1.37e+02
32,256,3.53e+01,2.75e+02
32,512,3.36e+01,5.23e+02
64,1,6.94e+01,2.08e+00
64,2,7.18e+01,3.47e+00
64,4,6.94e+01,5.17e+00
64,8,7.06e+01,9.80e+00
64,16,6.85e+01,1.78e+01
64,32,6.37e+01,3.24e+01
64,64,7.04e+01,7.04e+01
64,128,7.62e+01,1.51e+02
64,256,6.89e+01,2.73e+02
64,512,7.31e+01,5.77e+02
128,1,1.37e+02,1.93e+00
128,2,1.49e+02,3.41e+00
128,4,1.29e+02,4.82e+00
128,8,1.33e+02,9.31e+00
128,16,1.43e+02,1.87e+01
128,32,1.32e+02,3.34e+01
128,64,1.40e+02,7.06e+01
128,128,1.40e+02,1.40e+02
128,256,1.36e+02,2.72e+02
128,512,1.42e+02,5.63e+02
256,1,2.72e+02,2.00e+00
256,2,2.75e+02,3.14e+00
256,4,2.86e+02,5.48e+00
256,8,2.81e+02,9.73e+00
256,16,2.56e+02,1.68e+01
256,32,2.79e+02,3.57e+01
256,64,2.75e+02,6.93e+01
256,128,2.88e+02,1.45e+02
256,256,2.73e+02,2.73e+02
256,512,2.76e+02,5.50e+02
512,1,5.66e+02,2.14e+00
512,2,5.63e+02,3.27e+00
512,4,5.67e+02,5.64e+00
512,8,5.49e+02,9.57e+00
512,16,5.48e+02,1.81e+01
512,32,5.48e+02,3.53e+01
512,64,5.67e+02,7.19e+01
512,128,5.54e+02,1.39e+02
512,256,5.39e+02,2.70e+02
512,512,5.41e+02,5.40e+02
